"","id","incident_year","incident_month","incident_day","operator_id","operator","aircraft","aircraft_type","aircraft_make","aircraft_model","aircraft_mass","engine_make","engine_model","engines","engine_type","engine1_position","engine2_position","engine3_position","engine4_position","airport_id","airport","state","faa_region","flight_phase","visibility","precipitation","height","speed","distance","species_id","species_name","species_quantity","flight_impact","damaged"
"1102",15433,2010,8,10,"BTA","EXPRESSJET (CONTINENTAL EXPRS)","EMB-145","A","332",14,3,1,10,2,"D",5,5,NA,NA,"KSLC","SALT LAKE CITY INTL","UT","ANM","APPROACH","DAY","NONE",6800,NA,4,"H2003","AMERICAN WHITE PELICAN","2-10","PRECAUTIONARY LANDING",1
"1103",8312,1993,5,11,"UPS","UPS AIRLINES","B-757-200","A","148",26,4,34,40,2,"D",1,1,NA,NA,"KSDF","LOUISVILLE INTL ARPT-STANDIFORD FIELD","KY","ASO","APPROACH","NIGHT","NONE",500,133,NA,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"1104",12313,2009,7,11,"FFT","FRONTIER AIRLINES","A-319","A","04A",6,4,10,1,2,"D",1,1,NA,NA,"KDEN","DENVER INTL AIRPORT","CO","ANM","TAKEOFF RUN","DAY","NONE",0,140,0,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",1
"1105",25442,2011,10,14,"SKW","SKYWEST AIRLINES","EMB-120","A","332",11,3,31,10,2,"C",4,4,NA,NA,"KLMT","KLAMATH FALLS INTL","OR","ANM","APPROACH","NIGHT","NONE",6000,160,5,"UNKB","UNKNOWN BIRD","1","NONE",0
"1106",7893,2010,8,25,"SWA","SOUTHWEST AIRLINES","B-737-700","A","148",42,4,10,1,2,"D",1,1,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,0,"UNKBS","UNKNOWN SMALL BIRD","1",NA,0
"1107",29746,2002,11,15,"HAL","HAWAIIAN AIR","B-717-200","A","148",45,4,9,6,2,"D",5,5,NA,NA,"PHOG","KAHULUI ARPT","HI","AWP","LANDING ROLL","DAY","NONE",0,NA,0,"UNKBS","UNKNOWN SMALL BIRD","2-10","NONE",0
"1108",20493,2012,8,10,"BUS","BUSINESS","CIRRUS SR 20/22","A","275",1,1,13,10,1,"A",7,NA,NA,NA,"KSFB","ORLANDO SANFORD INTL ARPT","FL","ASO","TAKEOFF RUN","DAY","NONE",0,NA,0,"2A7","GOPHER TORTOISE","1","NONE",0
"1109",15979,2007,11,19,"MIL","MILITARY","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KAXS","ALTUS/QUARTZ MOUNTAIN RGNL ARPT","OK","ASW","TAKEOFF RUN","NIGHT",NA,NA,160,NA,"UNKBM","UNKNOWN MEDIUM BIRD",NA,NA,0
"1110",1724,2012,8,7,"MIL","MILITARY","F-16","A","561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KMSN","DANE COUNTY REGIONAL ARPT-TRUAX FLD","WI","AGL","LANDING",NA,NA,NA,NA,NA,"YI005","BARN SWALLOW",NA,NA,1
"1111",6613,1996,6,26,"UAL","UNITED AIRLINES","B-737-300","A","148",24,4,10,1,2,"D",1,1,NA,NA,"KDEN","DENVER INTL AIRPORT","CO","ANM","TAKEOFF RUN",NA,NA,0,NA,0,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
"1112",3967,2005,9,13,"BUS","BUSINESS","C-550","A","226",37,3,31,1,2,"D",5,5,NA,NA,"KTEB","TETERBORO AIRPORT","NJ","AEA","TAKEOFF RUN","NIGHT","NONE",0,NA,0,"J2204","CANADA GOOSE","2-10","ABORTED TAKEOFF",1
"1113",25688,2015,5,1,"SWA","SOUTHWEST AIRLINES","B-737-700","A","148",42,4,10,1,2,"D",1,1,NA,NA,"KSJC","NORMAN Y. MINETA SAN JOSE INTL ARPT","CA","AWP","APPROACH","DAY","NONE",4500,130,NA,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"1114",20121,2003,8,14,"1AWE","AMERICA WEST AIRLINES","B-737-300","A","148",24,4,10,1,2,"D",1,1,NA,NA,"KIND","INDIANAPOLIS INTL ARPT","IN","AGL","APPROACH","DAY",NA,500,140,NA,"UNKBL","UNKNOWN LARGE BIRD","1","OTHER",1
"1115",14034,2003,12,7,"BUS","BUSINESS","PA-28","A","729",23,1,7,10,1,"A",7,NA,NA,NA,"KMLB","MELBOURNE INTL","FL","ASO","APPROACH","DAY","NONE",50,63,NA,"I13","EGRET","1","NONE",0
"1116",24982,2007,1,5,"FLG*","PINNACLE","CRJ100/200","A","188",10,3,22,4,2,"D",5,5,NA,NA,"KMEM","MEMPHIS INTL","TN","ASO","CLIMB","DAY","NONE",100,150,NA,"K3302","RED-TAILED HAWK","1","NONE",1
"1117",16924,2009,7,24,"SWA","SOUTHWEST AIRLINES","B-737-700","A","148",42,4,10,1,2,"D",1,1,NA,NA,"KBNA","NASHVILLE INTL","TN","ASO","APPROACH","DAY","NONE",50,135,0,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"1118",10600,2005,5,10,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KDCA","RONALD REAGAN WASHINGTON NATIONAL ARPT","DC","AEA",NA,NA,NA,NA,NA,0,"NE104","RING-BILLED GULL","1",NA,0
"1119",23903,1997,8,17,"CHQ","CHAUTAUQUA AIRLINES","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KAOO","ALTOONA-BLAIR COUNTY","PA","AEA","APPROACH","DAY",NA,NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,1
"1120",7720,2007,6,20,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KYKM","YAKIMA AIR TERMINAL/MCALLISTER FIELD","WA","ANM",NA,NA,NA,NA,NA,0,"R1101","BARN OWL","1",NA,0
"1121",22149,2008,9,9,"ABX","ABX AIR","B-767-200","A","148",29,4,22,7,2,"D",1,1,NA,NA,"KILN","WILMINGTON AIR PARK","OH","AGL","APPROACH",NA,NA,NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
"1122",1735,2002,10,30,"PDT","PIEDMONT AIRLINES","DHC8 DASH 8","A","303",10,3,31,10,2,"C",4,4,NA,NA,"KAVL","ASHEVILLE REGIONAL ARPT","NC","ASO","TAKEOFF RUN",NA,"NONE",0,NA,0,"UNKBM","UNKNOWN MEDIUM BIRD","2-10",NA,0
"1123",25737,2012,12,3,"ASA","ALASKA AIRLINES","B-737-800","A","148",43,4,10,1,2,"D",1,1,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,"J2140","RUDDY DUCK","1",NA,0
"1124",425,2009,9,23,"BUS","BUSINESS","BE-36","A","123",8,1,13,20,1,"A",7,NA,NA,NA,"KLKU","LOUISA COUNTY ARPT/FREEMAN FLD","VA","AEA","LANDING ROLL","NIGHT",NA,0,NA,0,"1G11","WHITE-TAILED DEER","1",NA,1
"1125",10796,2014,3,8,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KEWR","NEWARK LIBERTY INTL ARPT","NJ","AEA",NA,NA,NA,NA,NA,0,"O2111","ROCK PIGEON","1",NA,0
"1126",6963,2014,10,31,"ASA","ALASKA AIRLINES","B-737-900","A","148",48,4,10,1,2,"D",1,1,NA,NA,"KSEA","SEATTLE-TACOMA INTL","WA","ANM","APPROACH","NIGHT",NA,NA,NA,NA,"Z6007","AMERICAN ROBIN","1",NA,0
"1127",28255,1997,4,26,"PDT","PIEDMONT AIRLINES","FOKKER F100","A","372",12,4,37,46,2,"D",5,5,NA,NA,"KIAD","WASHINGTON DULLES INTL ARPT","DC","AEA","APPROACH","NIGHT","NONE",3000,180,NA,"J21","DUCK","1","NONE",0
"1128",18466,2002,7,12,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KACY","ATLANTIC CITY INTL","NJ","AEA",NA,NA,NA,NA,NA,0,"O2205","MOURNING DOVE","1",NA,0
"1129",22055,2006,8,3,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KBKL","BURKE LAKEFRONT","OH","AGL",NA,NA,NA,NA,NA,0,"N5111","KILLDEER","1",NA,0
"1130",23998,1998,8,20,"AAL","AMERICAN AIRLINES","MD-80","A","583",37,4,34,10,2,"D",5,5,NA,NA,"KDCA","RONALD REAGAN WASHINGTON NATIONAL ARPT","DC","AEA","APPROACH","DAY","NONE",400,140,NA,"O2111","ROCK PIGEON","2-10","OTHER",0
"1131",28993,2006,11,19,"JBU","JETBLUE AIRWAYS","A-320","A","04A",3,4,23,1,2,"D",1,1,NA,NA,"KLGA","LA GUARDIA ARPT","NY","AEA","APPROACH","NIGHT","NONE",500,NA,NA,"Z9001","GOLDEN-CROWNED KINGLET","1","NONE",0
"1132",25283,2009,9,8,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KLCK","RICKENBACKER INTL","OH","AGL",NA,NA,NA,NA,NA,0,"ZS028","YELLOW-THROATED WARBLER","1",NA,0
"1133",15090,1997,8,22,"DAL","DELTA AIR LINES","B-757-200","A","148",26,4,34,40,2,"D",1,1,NA,NA,"KCVG","CINCINNATI/NORTHERN KENTUCKY INTL ARPT","KY","ASO","APPROACH","DAY","NONE",125,132,NA,"ZT001","EASTERN MEADOWLARK","1","OTHER",1
"1134",6297,2002,8,26,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KACY","ATLANTIC CITY INTL","NJ","AEA",NA,NA,NA,NA,NA,0,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
"1135",22387,2000,6,5,"TWA","TRANS WORLD AIRLINES","MD-80","A","583",37,4,34,10,2,"D",5,5,NA,NA,"KSAT","SAN ANTONIO INTL","TX","ASW","LANDING ROLL",NA,NA,0,NA,0,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
"1136",29685,2009,7,2,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KEWB","NEW BEDFORD REGIONAL ARPT","MA","ANE",NA,NA,NA,NA,NA,0,"Y9016","LEAST FLYCATCHER","1",NA,0
"1137",8266,2012,4,16,"DAL","DELTA AIR LINES","B-757-200","A","148",26,4,34,40,2,"D",1,1,NA,NA,"KDTW","DETROIT METRO WAYNE COUNTY ARPT","MI","AGL","LANDING ROLL","DAY","NONE",0,NA,0,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"1138",20602,2010,4,19,"BUS","BUSINESS","CHALLENGER 300","A",NA,NA,3,2,NA,2,"D",5,NA,NA,NA,"KFTG","FRONT RANGE ARPT","CO","ANM","APPROACH","DAY","NONE",10,120,0,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"1139",24308,2010,8,16,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KTYS","MC GHEE TYSON ARPT","TN","ASO",NA,NA,NA,NA,NA,0,"1C2104","LITTLE BROWN BAT","1",NA,0
"1140",10821,2012,8,24,"ASA","ALASKA AIRLINES","B-737-800","A","148",43,4,10,1,2,"D",1,1,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,"ZX303","SAVANNAH SPARROW","1",NA,0
"1141",16190,1994,4,27,"HAL","HAWAIIAN AIR","DC-9-50","A","583",23,4,34,10,2,"D",5,5,NA,NA,"PHTO","HILO INTL ARPT","HI","AWP","TAKEOFF RUN","DUSK","NONE",0,NA,0,"UNKBM","UNKNOWN MEDIUM BIRD","1","OTHER",0
"1142",28868,1999,9,23,"BUS","BUSINESS","BE-90  KING","A","123",18,2,31,4,2,"C",4,4,NA,NA,"KLNK","LINCOLN ARPT","NE","ACE","APPROACH","NIGHT","NONE",500,120,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
"1143",4740,2013,8,14,"BUS","BUSINESS","C-172","A","226",7,1,7,19,1,"A",7,NA,NA,NA,"KSFB","ORLANDO SANFORD INTL ARPT","FL","ASO","APPROACH","DAY","NONE",5000,110,NA,"UNKBL","UNKNOWN LARGE BIRD","1","OTHER",0
"1144",10690,1990,9,13,"MIL","MILITARY","A-10A","A","345",NA,3,22,NA,2,"D",NA,NA,NA,NA,"KAEX","ALEXANDRIA INTL","LA","ASW","APPROACH","DAY",NA,150,140,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
"1145",2224,2009,9,30,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KTEB","TETERBORO AIRPORT","NJ","AEA",NA,NA,NA,NA,NA,0,"YL001","EUROPEAN STARLING","1",NA,0
"1146",25706,2009,10,13,"UPS","UPS AIRLINES","A-300","A","04A",1,4,34,46,2,"D",1,1,NA,NA,"KSDF","LOUISVILLE INTL ARPT-STANDIFORD FIELD","KY","ASO","APPROACH","NIGHT","NONE",800,124,1,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"1147",26014,2000,9,1,"USA","1US AIRWAYS","B-737","A","148",95,4,NA,NA,2,"D",1,1,NA,NA,"KPNS","PENSACOLA INTL ARPT","FL","ASO","LANDING ROLL","DAY","NONE",0,120,0,"O22","DOVE","1","NONE",0
"1148",27761,2001,6,24,"PVT","PRIVATELY OWNED","GROB","A","41F",NA,1,7,10,1,"A",7,NA,NA,NA,"KLVK","LIVERMORE MUNICIPAL ARPT","CA","AWP","CLIMB","DAY",NA,NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
"1149",1880,2000,3,23,"1AWE","AMERICA WEST AIRLINES","B-737","A","148",95,4,NA,NA,2,"D",1,1,NA,NA,"KAUS","AUSTIN-BERGSTROM INTL","TX","ASW","LANDING ROLL","NIGHT",NA,0,NA,0,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
"1150",21425,2011,5,6,"SWA","SOUTHWEST AIRLINES","B-737-700","A","148",42,4,10,1,2,"D",1,1,NA,NA,"KDAL","DALLAS LOVE FIELD ARPT","TX","ASW","CLIMB","NIGHT","NONE",500,135,NA,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"1151",3317,2008,1,14,"BUS","BUSINESS","AEROS 350","B","31",15,2,44,1,1,"F",NA,NA,NA,NA,"ZZZZ","UNKNOWN",NA,NA,"EN ROUTE","DAY","NONE",750,120,NA,"K1002","TURKEY VULTURE","1","PRECAUTIONARY LANDING",1
"1152",28022,2006,4,23,"USA","1US AIRWAYS","A-321","A","04A",7,4,10,1,2,"D",1,1,NA,NA,"KBUF","BUFFALO-NIAGARA INTL","NY","AEA","APPROACH","NIGHT","RAIN",2500,160,NA,"NE1","GULL","1","NONE",0
"1153",14364,2012,12,28,"CPZ","COMPASS AIRLINES","EMB-170","A","332",NA,4,22,4,2,"D",1,1,NA,NA,"KEWR","NEWARK LIBERTY INTL ARPT","NJ","AEA","CLIMB","NIGHT","NONE",NA,NA,NA,"J2140","RUDDY DUCK","1","PRECAUTIONARY LANDING",1
"1154",24141,1996,7,22,"SWA","SOUTHWEST AIRLINES","B-737-300","A","148",24,4,10,1,2,"D",1,1,NA,NA,"KBWI","BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT","MD","AEA","TAKEOFF RUN","DAY","NONE",0,100,0,"ZX3","SPARROW","1",NA,0
"1155",23396,2014,9,12,"AWE","US AIRWAYS","A-321","A","04A",7,4,23,1,2,"D",1,1,NA,NA,"KLGA","LA GUARDIA ARPT","NY","AEA","APPROACH",NA,NA,2500,NA,4,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
"1156",8528,2015,3,29,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KDAB","DAYTONA BEACH INTL","FL","ASO",NA,NA,NA,NA,NA,0,"ZX3","SPARROW","1",NA,0
"1157",25863,2004,4,12,"UAL","UNITED AIRLINES","A-319","A","04A",6,4,23,1,2,"D",1,1,NA,NA,"CYVR","VANCOUVER INTL","BC","PAC","APPROACH",NA,NA,1000,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
"1158",1297,2003,4,20,"USA","1US AIRWAYS","A-319","A","04A",6,4,10,1,2,"D",1,1,NA,NA,"KDCA","RONALD REAGAN WASHINGTON NATIONAL ARPT","DC","AEA","APPROACH","DAY","NONE",NA,NA,NA,"NE1","GULL","1","NONE",1
"1159",10251,2004,7,29,"MIL","MILITARY","KC-135R","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KLCK","RICKENBACKER INTL","OH","AGL","APPROACH","DAY",NA,1000,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD",NA,"NONE",0
"1160",10724,2007,4,10,"USA","1US AIRWAYS","A-330","A","04A",4,4,34,46,2,"D",1,1,NA,NA,"EDDF","FRANKFURT MAIN",NA,"FGN","CLIMB","DAY","NONE",100,165,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
"1161",21202,2012,7,4,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KORD","CHICAGO O'HARE INTL ARPT","IL","AGL",NA,NA,NA,NA,NA,0,"N5111","KILLDEER","1",NA,0
"1162",29629,2011,11,1,"FDX","FEDEX EXPRESS","B-757-200","A","148",26,4,37,37,2,"D",1,1,NA,NA,"KIND","INDIANAPOLIS INTL ARPT","IN","AGL","CLIMB","NIGHT","NONE",100,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
"1163",17941,2001,9,19,"UAL","UNITED AIRLINES","A-319","A","04A",6,4,23,1,2,"D",1,1,NA,NA,"KDSM","DES MOINES INTL","IA","ACE","TAKEOFF RUN",NA,NA,0,NA,0,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
"1164",6929,2006,9,26,"DAL","DELTA AIR LINES","B-737-800","A","148",43,4,10,1,2,"D",1,1,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,"DAY","NONE",NA,NA,NA,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"1165",22070,1991,5,19,"BUS","BUSINESS","CITATION II","A","226",37,3,31,1,2,"D",5,5,NA,NA,"KBHM","BIRMINGHAM-SHUTTLESWORTH INTL","AL","ASO","TAKEOFF RUN","DAY","NONE",0,160,0,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"1166",21171,2013,4,9,"HAL","HAWAIIAN AIR","B-717-200","A","148",45,4,9,6,2,"D",5,5,NA,NA,"PHOG","KAHULUI ARPT","HI","AWP","APPROACH","DAY","NONE",50,140,0,"O2205","MOURNING DOVE","1","NONE",0
"1167",22722,2007,6,6,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KFLL","FORT LAUDERDALE/HOLLYWOOD INTL","FL","ASO",NA,NA,NA,NA,NA,0,"I1102","GREAT BLUE HERON","1",NA,0
"1168",28289,2003,12,2,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHOG","KAHULUI ARPT","HI","AWP",NA,NA,NA,NA,NA,0,"N5122","PACIFIC GOLDEN-PLOVER","1",NA,0
"1169",10232,2004,8,4,"MIL","MILITARY","KC-135R","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KSPS","SHEPPARD AFB/WICHITA FALLS MUNI ARPT","TX","ASW","APPROACH","DAY",NA,0,NA,NA,"ZT001","EASTERN MEADOWLARK",NA,"OTHER",0
"1170",16413,2010,10,7,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KAPA","CENTENNIAL ARPT","CO","ANM",NA,NA,NA,NA,NA,0,"K5114","AMERICAN KESTREL","1",NA,0
"1171",17476,2006,8,2,"EGF","AMERICAN EAGLE AIRLINES","EMB-145","A","332",14,3,1,10,2,"D",5,5,NA,NA,"KGRB","AUSTIN STRAUBEL INTL","WI","AGL","APPROACH","DAY","RAIN",200,135,1,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"1172",6633,2003,4,25,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KDCA","RONALD REAGAN WASHINGTON NATIONAL ARPT","DC","AEA",NA,NA,NA,NA,NA,0,"K5114","AMERICAN KESTREL","1",NA,0
"1173",17651,2007,10,9,"SWA","SOUTHWEST AIRLINES","B-737-300","A","148",24,4,10,1,2,"D",1,1,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,"NIGHT","NONE",NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
"1174",15258,2014,5,20,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KBUF","BUFFALO-NIAGARA INTL","NY","AEA",NA,NA,NA,NA,NA,0,"O2205","MOURNING DOVE","1",NA,0
"1175",4130,2004,6,19,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KDEN","DENVER INTL AIRPORT","CO","ANM",NA,NA,NA,NA,NA,0,"YI009","CLIFF SWALLOW","2-10",NA,0
"1176",15925,1998,6,29,"BUS","BUSINESS","BE-300 KING","A","123",30,1,31,4,2,"C",NA,NA,NA,NA,"KHPN","WESTCHESTER COUNTY ARPT","NY","AEA","APPROACH","DAY",NA,NA,NA,NA,"NE1","GULL","1",NA,0
"1177",18196,1999,10,16,"UAL","UNITED AIRLINES","B-757-200","A","148",26,4,34,40,2,"D",1,1,NA,NA,"KPVD","THEODORE FRANCIS GREEN STATE","RI","ANE","TAKEOFF RUN",NA,NA,0,NA,0,"UNKBM","UNKNOWN MEDIUM BIRD","1","OTHER",0
"1178",23976,2001,7,27,"SWA","SOUTHWEST AIRLINES","B-737-300","A","148",24,4,10,1,2,"D",1,1,NA,NA,"KSMF","SACRAMENTO INTL","CA","AWP","LANDING ROLL","DAY","NONE",0,125,0,"K33","HAWK","1","NONE",1
"1179",16882,2006,5,4,"AAL","AMERICAN AIRLINES","MD-80","A","583",37,4,34,10,2,"D",5,5,NA,NA,"KPDX","PORTLAND INTL (OR)","OR","ANM","TAKEOFF RUN","DAY",NA,0,NA,0,"N6","SANDPIPER","2-10","NONE",0
"1180",1663,1995,7,8,"ABX","ABX AIR","DC-8-62","A","583",17,4,34,1,4,"D",1,1,1,1,"KIAD","WASHINGTON DULLES INTL ARPT","DC","AEA","DESCENT","DAY",NA,NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",1
"1181",21045,2009,3,8,"RPA","REPUBLIC AIRLINES","EMB-170","A","332",NA,4,22,4,2,"D",1,1,NA,NA,"KMCI","KANSAS CITY INTL","MO","ACE","LANDING ROLL","DAY","NONE",0,130,0,"J2134","GADWALL","2-10","NONE",0
"1182",8499,2013,11,22,"XOJ","XOJET","CITATION X","A","226",48,3,1,10,2,"D",5,5,NA,NA,"KTEB","TETERBORO AIRPORT","NJ","AEA","CLIMB","DAY",NA,6000,250,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",1
"1183",15640,2013,8,28,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KHSV","HUNTSVILLE INTL ARPT-CARL T JONES FIELD","AL","ASO",NA,NA,NA,NA,NA,0,"S5213","COMMON NIGHTHAWK","1",NA,0
"1184",17560,2013,10,2,"ASQ","EXPRESSJET AIRLINES","EMB-135","A","332",13,3,1,10,2,"D",5,5,NA,NA,"KBTV","BURLINGTON INTL","VT","ANE","APPROACH","NIGHT","NONE",NA,NA,NA,"ZS008","COMMON YELLOWTHROAT","1","NONE",0
"1185",4782,1992,6,22,"MIL","MILITARY","T-38A","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KFSM","FORT SMITH REGIONAL ARPT","AR","ASW","APPROACH","DAY",NA,500,155,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
"1186",17861,2014,8,15,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KDEN","DENVER INTL AIRPORT","CO","ANM",NA,NA,NA,NA,NA,0,"YH004","HORNED LARK","1",NA,0
"1187",709,1991,7,11,"DAL","DELTA AIR LINES","B-767-300","A","148",97,4,34,46,2,"D",1,1,NA,NA,"EINN","SHANNON INTL",NA,"FGN","TAKEOFF RUN",NA,NA,0,NA,0,"UNKBM","UNKNOWN MEDIUM BIRD","1","ABORTED TAKEOFF",0
"1188",25093,2009,6,30,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KDEN","DENVER INTL AIRPORT","CO","ANM",NA,NA,NA,NA,NA,0,"O2205","MOURNING DOVE","1",NA,0
"1189",5220,2008,11,29,"SWA","SOUTHWEST AIRLINES","B-737-700","A","148",42,4,10,1,2,"D",1,1,NA,NA,"KSJC","NORMAN Y. MINETA SAN JOSE INTL ARPT","CA","AWP","LANDING ROLL","DAY","NONE",0,NA,0,"ZT002","WESTERN MEADOWLARK","1","NONE",0
"1190",14002,1999,9,23,"COM","COMAIR AIRLINES","EMB-120","A","332",11,3,31,10,2,"C",4,4,NA,NA,"KPNS","PENSACOLA INTL ARPT","FL","ASO","TAKEOFF RUN","DUSK","NONE",0,NA,0,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"1191",455,2014,5,13,"UPS","UPS AIRLINES","A-300","A","04A",1,4,34,46,2,"D",1,1,NA,NA,"KSDF","LOUISVILLE INTL ARPT-STANDIFORD FIELD","KY","ASO","APPROACH","NIGHT",NA,4500,200,NA,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"1192",21412,2009,3,12,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KMSY","LOUIE ARMSTRONG NEW ORLEANS INTL ARPT","LA","ASW",NA,NA,NA,NA,NA,0,"ZX3","SPARROW","1",NA,0
"1193",27614,2013,5,9,"SWA","SOUTHWEST AIRLINES","B-737-700","A","148",42,4,10,1,2,"D",1,1,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"1194",8358,2014,10,10,"AAL","AMERICAN AIRLINES","B-757-200","A","148",26,4,37,37,2,"D",1,1,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,"UNKB","UNKNOWN BIRD","1",NA,0
"1195",3599,2001,5,5,"UAL","UNITED AIRLINES","A-319","A","04A",6,4,23,1,2,"D",1,1,NA,NA,"KORD","CHICAGO O'HARE INTL ARPT","IL","AGL","CLIMB",NA,NA,2300,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
"1196",21733,2014,6,8,"ENY","ENVOY AIR","EMB-145","A","332",14,3,1,10,2,"D",5,5,NA,NA,"KLRD","LAREDO INTL","TX","ASW","APPROACH","NIGHT","NONE",225,145,1,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
