response_datetime,problem,is_911_call,primary_offense,subject_injury,force_type,force_type_action,race,sex,age,type_resistance,precinct,neighborhood
2016/07/31 04:29:46,Fight ,No,ASLT5,No,Chemical Irritant,Crowd Control Mace,Black,Male,20,Commission of Crime,1,Downtown West
2016/08/03 01:05:26,Motor Vehicle Chase ,No,FLEE,No,Bodily Force,Joint Lock,Other / Mixed Race,Male,16,Verbal Non-Compliance,1,Cedar Riverside
2016/08/04 01:28:42,ShotSpotter Activation ,No,CURFEW,Yes,Bodily Force,Body Weight to Pin,Black,Male,11,Fled on Foot,4,McKinley
2016/08/04 02:42:44,Chase on Foot ,No,POSDPA,No,Bodily Force,Push Away,Black,Male,21,Fled on Foot,1,Downtown West
2016/08/04 17:38:04,Emotionally Disturb Person ,Yes,CIC,,Bodily Force,Body Weight to Pin,Black,Male,25,Tensed,4,Jordan
2016/08/04 17:38:04,Emotionally Disturb Person ,Yes,CIC,,Bodily Force,Body Weight to Pin,Black,Male,25,Tensed,4,Jordan
2016/08/05 10:01:21,Suspicious Person ,Yes,FLEEFT,,Bodily Force,Push Away,White,Male,25,Fled on Foot,3,Seward
2016/08/05 19:13:35,Suspicious Person ,Yes,ASLT5,,Bodily Force,Body Weight to Pin,Black,Male,37,Commission of Crime,3,Midtown Phillips
2016/08/05 19:13:35,Suspicious Person ,Yes,ASLT5,,Bodily Force,Push Away,Black,Male,37,Commission of Crime,3,Midtown Phillips
2016/08/05 22:36:41,Assist EMS Personnel ,No,DISCON,,Chemical Irritant,Personal Mace,White,Male,54,Tensed,5,Lowry Hill East
2016/08/05 22:36:41,Assist EMS Personnel ,No,DISCON,,Bodily Force,Push Away,White,Male,54,Tensed,5,Lowry Hill East
2016/08/06 01:52:53,Disturbance ,No,DISCON,,Chemical Irritant,Crowd Control Mace,Black,Female,21,Verbal Non-Compliance,1,Downtown West
2016/08/06 01:52:53,Disturbance ,No,DISCON,,Chemical Irritant,Crowd Control Mace,Black,Female,21,Verbal Non-Compliance,1,Downtown West
2016/08/06 01:52:53,Disturbance ,No,DISCON,,Chemical Irritant,Crowd Control Mace,Black,Female,21,Verbal Non-Compliance,1,Downtown West
2016/08/06 01:52:53,Disturbance ,No,DISCON,,Chemical Irritant,Crowd Control Mace,Black,Female,21,Verbal Non-Compliance,1,Downtown West
2016/08/06 01:52:53,Disturbance ,No,DISCON,,Chemical Irritant,Crowd Control Mace,Black,Female,21,Verbal Non-Compliance,1,Downtown West
2016/08/06 01:52:53,Disturbance ,No,DISCON,,Chemical Irritant,Crowd Control Mace,Black,Female,21,Verbal Non-Compliance,1,Downtown West
2016/08/06 02:13:43,Unknown Trouble ,No,OBSTRU,,Chemical Irritant,Crowd Control Mace,Black,Male,23,Tensed,5,Lowry Hill East
2016/08/06 02:13:43,Unknown Trouble ,No,OBSTRU,,Chemical Irritant,Crowd Control Mace,White,Male,22,Tensed,5,Lowry Hill East
2016/08/06 02:43:26,Disturbance ,No,ASLT5,,Chemical Irritant,Crowd Control Mace,Black,Male,20,Commission of Crime,5,Lowry Hill East
2016/08/06 02:43:26,Disturbance ,No,ASLT5,,Chemical Irritant,Crowd Control Mace,Black,Male,20,Commission of Crime,5,Lowry Hill East
2016/08/06 02:46:35,Fight ,No,DISCON,,Chemical Irritant,Crowd Control Mace,Black,Female,21,Commission of Crime,1,Downtown West
2016/08/06 02:46:35,Fight ,No,DISCON,,Chemical Irritant,Crowd Control Mace,Black,Male,21,Commission of Crime,1,Downtown West
2016/08/06 02:46:35,Fight ,No,DISCON,,Chemical Irritant,Crowd Control Mace,Black,Male,21,Commission of Crime,1,Downtown West
2016/08/06 02:46:35,Fight ,No,DISCON,,Chemical Irritant,Crowd Control Mace,Black,Female,21,Commission of Crime,1,Downtown West
2016/08/06 03:08:55,Disturbance ,No,FORCE,,Chemical Irritant,Crowd Control Mace,Black,Male,18,Unspecified,1,Downtown West
2016/08/06 05:11:13,Check the Welfare ,Yes,OBSTRU,No,Bodily Force,Joint Lock,Black,Female,34,Tensed,3,Powderhorn Park
2016/08/06 05:11:13,Check the Welfare ,Yes,OBSTRU,No,Bodily Force,Body Weight to Pin,Black,Female,34,Tensed,3,Powderhorn Park
2016/08/06 05:11:13,Check the Welfare ,Yes,OBSTRU,No,Bodily Force,Knees,Black,Female,34,Tensed,3,Powderhorn Park
2016/08/06 05:11:13,Check the Welfare ,Yes,OBSTRU,No,Bodily Force,Knees,Black,Female,34,Tensed,3,Powderhorn Park
2016/08/06 06:18:52,Assist an Officer ,No,DAMMV,Yes,Bodily Force,Body Weight to Pin,Black,Male,48,Fled on Foot,1,Downtown West
2016/08/07 02:57:07,Assault in Progress ,Yes,CIC,No,Bodily Force,Body Weight to Pin,Native American,Male,29,Commission of Crime,3,Ventura Village
2016/08/07 02:57:07,Assault in Progress ,Yes,CIC,No,Bodily Force,Body Weight to Pin,Native American,Male,29,Commission of Crime,3,Ventura Village
2016/08/07 02:57:07,Assault in Progress ,Yes,CIC,No,Bodily Force,Knees,Native American,Male,29,Commission of Crime,3,Ventura Village
2016/08/07 02:57:07,Assault in Progress ,Yes,CIC,No,Bodily Force,Joint Lock,Native American,Male,29,Commission of Crime,3,Ventura Village
2016/08/07 02:57:07,Assault in Progress ,Yes,CIC,No,Bodily Force,Body Weight to Pin,Native American,Male,29,Commission of Crime,3,Ventura Village
2016/08/08 03:24:39,Fight ,No,DISCON,,Chemical Irritant,Personal Mace,Black,Male,18,Commission of Crime,1,Downtown West
2016/08/08 09:34:33,Property Damage/Hit & Run ,Yes,HRUNAT,,Bodily Force,Joint Lock,Black,Female,16,Tensed,4,Jordan
2016/08/08 17:33:20,Emotionally Disturb Person ,No,CIC,Yes,Taser,Firing Darts,Black,Male,32,Fled on Foot,3,Phillips West
2016/08/08 20:24:01,Emotionally Disturb Person ,Yes,FLEEFT,Yes,Taser,Firing Darts,White,Male,30,Unspecified,5,Whittier
2016/08/09 15:38:41,Unknown Trouble ,No,ASLT3,,Bodily Force,Body Weight to Pin,Black,Male,33,Fled on Foot,1,North Loop
2016/08/09 15:38:41,Unknown Trouble ,No,ASLT3,,Bodily Force,Push Away,Black,Male,33,Fled on Foot,1,North Loop
2016/08/09 15:38:41,Unknown Trouble ,No,ASLT3,,Bodily Force,Joint Lock,Black,Male,33,Fled on Foot,1,North Loop
2016/08/09 16:43:31,Emotionally Disturb Person ,Yes,CIC,Yes,Bodily Force,Body Weight to Pin,Other / Mixed Race,Male,42,Tensed,5,Lyndale
2016/08/10 14:07:12,Down Outside-One w/Fire ,Yes,ASLT4,No,Bodily Force,Knees,White,Female,24,Assaulted Officer,5,Windom
2016/08/10 16:50:36,Community Engagement Meeting,No,DISCON,,Bodily Force,Body Weight to Pin,Native American,Male,51,Tensed,3,Midtown Phillips
2016/08/10 16:50:36,Community Engagement Meeting,No,DISCON,,Bodily Force,Body Weight to Pin,Native American,Male,51,Tensed,3,Midtown Phillips
2016/08/10 19:41:38,Person with a Gun ,No,OBSTRU,Yes,Bodily Force,Body Weight to Pin,Black,Male,30,Unspecified,3,Midtown Phillips
2016/08/10 19:41:38,Person with a Gun ,No,OBSTRU,Yes,Bodily Force,Punches,Black,Male,30,Unspecified,3,Midtown Phillips
2016/08/10 19:41:38,Person with a Gun ,No,OBSTRU,Yes,Gun Point Display,Compliance,Black,Male,30,Unspecified,3,Midtown Phillips
2016/08/10 19:41:38,Person with a Gun ,No,OBSTRU,Yes,Bodily Force,Punches,Black,Male,30,Unspecified,3,Midtown Phillips
2016/08/10 19:41:38,Person with a Gun ,No,OBSTRU,Yes,Bodily Force,Knees,Black,Male,30,Unspecified,3,Midtown Phillips
2016/08/12 01:20:27,Emotionally Disturb Person ,Yes,CIC,Yes,Taser,Touch,Black,Male,54,Tensed,4,Lind - Bohanon
2016/08/12 01:20:27,Emotionally Disturb Person ,Yes,CIC,Yes,Taser,Firing Darts,Black,Male,54,Tensed,4,Lind - Bohanon
2016/08/12 01:20:27,Emotionally Disturb Person ,Yes,CIC,Yes,Bodily Force,Body Weight to Pin,Black,Male,54,Tensed,4,Lind - Bohanon
2016/08/12 03:01:31,Motor Vehicle Chase ,No,FLEE,No,Taser,Firing Darts,Black,Male,32,Fled in Vehicle,5,Lowry Hill East
2016/08/12 20:32:15,Domestic ,Yes,FORCE,,Bodily Force,Body Weight to Pin,Black,Female,26,Tensed,4,Near - North
2016/08/12 20:32:15,Domestic ,Yes,FORCE,,Bodily Force,Joint Lock,Black,Female,26,Tensed,4,Near - North
2016/08/13 02:16:52,Fight ,No,DISCON,,Chemical Irritant,Crowd Control Mace,White,Male,21,Commission of Crime,1,Downtown West
2016/08/13 02:16:52,Fight ,No,DISCON,,Chemical Irritant,Crowd Control Mace,White,Male,22,Commission of Crime,1,Downtown West
2016/08/13 02:16:52,Fight ,No,DISCON,,Chemical Irritant,Crowd Control Mace,White,Male,22,Commission of Crime,1,Downtown West
2016/08/13 02:16:52,Fight ,No,DISCON,,Chemical Irritant,Crowd Control Mace,NA,Female,0,Commission of Crime,1,Downtown West
2016/08/13 02:16:52,Fight ,No,DISCON,,Chemical Irritant,Crowd Control Mace,White,Male,21,Commission of Crime,1,Downtown West
2016/08/13 02:16:52,Fight ,No,DISCON,,Chemical Irritant,Crowd Control Mace,NA,Female,0,Commission of Crime,1,Downtown West
2016/08/13 02:43:20,Fight ,No,DISCON,,Chemical Irritant,Crowd Control Mace,White,Male,30,Verbal Non-Compliance,1,Downtown West
2016/08/14 00:39:24,Loud Party ,Yes,MISC,,Chemical Irritant,Personal Mace,Black,Male,27,Verbal Non-Compliance,2,Windom Park
2016/08/14 02:15:56,Fight ,No,DISCON,,Chemical Irritant,Crowd Control Mace,Black,Female,20,Commission of Crime,1,Downtown West
2016/08/14 02:23:24,Down Outside-One ,Yes,OBSTRU,Yes,Bodily Force,Knees,Other / Mixed Race,Female,35,Tensed,3,East Phillips
2016/08/14 02:23:24,Down Outside-One ,Yes,OBSTRU,Yes,Bodily Force,Punches,Other / Mixed Race,Female,35,Tensed,3,East Phillips
2016/08/14 02:23:24,Down Outside-One ,Yes,OBSTRU,Yes,Bodily Force,Slaps,Other / Mixed Race,Female,35,Tensed,3,East Phillips
2016/08/14 02:23:24,Down Outside-One ,Yes,OBSTRU,Yes,Bodily Force,Body Weight to Pin,Other / Mixed Race,Female,35,Tensed,3,East Phillips
2016/08/14 02:23:24,Down Outside-One ,Yes,OBSTRU,Yes,Bodily Force,Knees,Other / Mixed Race,Female,35,Tensed,3,East Phillips
2016/08/14 02:23:24,Down Outside-One ,Yes,OBSTRU,Yes,Bodily Force,Push Away,Other / Mixed Race,Female,35,Tensed,3,East Phillips
2016/08/14 02:30:27,Fight ,No,FORCE,,Chemical Irritant,Crowd Control Mace,Black,Male,20,Verbal Non-Compliance,1,Downtown West
2016/08/14 02:30:27,Fight ,No,FORCE,,Chemical Irritant,Crowd Control Mace,Black,Male,20,Verbal Non-Compliance,1,Downtown West
2016/08/14 04:16:37,Unknown Wireless/Cell Phone,Yes,CIC,,Chemical Irritant,Personal Mace,White,Female,22,Verbal Non-Compliance,2,University of Minnesota
2016/08/14 17:19:45,Suspicious Person ,No,WEAP,,Bodily Force,Body Weight to Pin,Black,Male,53,Fled on Foot,5,ECCO
2016/08/14 21:47:12,Traffic Law Enforcement ,No,MJINMV,Yes,Bodily Force,Push Away,Black,Male,25,Fled on Foot,4,Near - North
2016/08/14 21:47:12,Traffic Law Enforcement ,No,MJINMV,Yes,Bodily Force,Body Weight to Pin,Black,Male,25,Fled on Foot,4,Near - North
2016/08/14 21:47:12,Traffic Law Enforcement ,No,MJINMV,Yes,Bodily Force,Body Weight to Pin,Black,Male,25,Fled on Foot,4,Near - North
2016/08/15 02:09:02,Disturbance ,No,DISCON,,Chemical Irritant,Crowd Control Mace,Black,Male,0,Commission of Crime,1,Downtown West
2016/08/15 02:22:54,Fight ,No,DISCON,,Chemical Irritant,Crowd Control Mace,Black,Male,0,Unspecified,1,Downtown West
2016/08/16 02:49:17,Suspicious Person ,Yes,"NARC",,Bodily Force,Joint Lock,Black,Male,29,Tensed,5,Lowry Hill East
2016/08/16 22:34:26,Fight ,Yes,WT,,Bodily Force,Body Weight to Pin,Black,Male,18,Verbal Non-Compliance,2,Holland
2016/08/17 18:22:15,Suspicious Person ,No,SHOPLF,,Bodily Force,Body Weight to Pin,Black,Male,19,Tensed,1,Downtown West
2016/08/17 18:22:15,Suspicious Person ,No,SHOPLF,,Bodily Force,Body Weight to Pin,Black,Male,19,Tensed,1,Downtown West
2016/08/17 18:22:15,Suspicious Person ,No,SHOPLF,,Bodily Force,Joint Lock,Black,Male,19,Tensed,1,Downtown West
2016/08/18 16:09:17,Emotionally Disturb Person ,Yes,FENTRY,No,Taser,Red Dot,Black,Male,40,Assaulted Officer,5,Steven's Square - Loring Heights
2016/08/18 16:09:17,Emotionally Disturb Person ,Yes,FENTRY,No,Taser,Display,Black,Male,40,Assaulted Officer,5,Steven's Square - Loring Heights
2016/08/18 16:09:17,Emotionally Disturb Person ,Yes,FENTRY,No,Taser,Firing Darts,Black,Male,40,Assaulted Officer,5,Steven's Square - Loring Heights
2016/08/18 18:13:58,Suspicious Person ,Yes,PRIORI,Yes,Police K9 Bite,On Lead,White,Male,24,Fled on Foot,5,Lowry Hill East
2016/08/19 00:18:46,Assault in Progress ,Yes,ASLT5,,Bodily Force,Body Weight to Pin,Black,Male,24,Tensed,1,Downtown West
2016/08/19 00:18:46,Assault in Progress ,Yes,ASLT5,,Bodily Force,Body Weight to Pin,Black,Male,24,Tensed,1,Downtown West
2016/08/19 10:29:36,Officer Needs Help ,No,AOA,Yes,Bodily Force,Body Weight to Pin,Other / Mixed Race,Male,26,Assaulted Officer,3,Whittier
2016/08/19 10:29:36,Officer Needs Help ,No,AOA,Yes,Taser,Touch,Other / Mixed Race,Male,26,Assaulted Officer,3,Whittier
2016/08/19 10:29:36,Officer Needs Help ,No,AOA,Yes,Bodily Force,Punches,Other / Mixed Race,Male,26,Assaulted Officer,3,Whittier
2016/08/19 10:29:36,Officer Needs Help ,No,AOA,Yes,Gun Point Display,Compliance,Other / Mixed Race,Male,26,Assaulted Officer,3,Whittier
2016/08/19 10:29:36,Officer Needs Help ,No,AOA,Yes,Bodily Force,Punches,Other / Mixed Race,Male,26,Assaulted Officer,3,Whittier
2016/08/19 10:59:26,Assault in Progress ,Yes,ASLT5,,Chemical Irritant,Personal Mace,Black,Female,29,Commission of Crime,3,Central
2016/08/19 10:59:26,Assault in Progress ,Yes,ASLT5,,Chemical Irritant,Personal Mace,Black,Female,21,Fled on Foot,3,Central
2016/08/19 23:17:24,Chase on Foot ,No,OBSTRU,Yes,Bodily Force,Body Weight to Pin,Black,Male,23,Fled on Foot,1,Elliot Park
2016/08/20 01:40:37,Disturbance ,No,ASLT3,,Chemical Irritant,Crowd Control Mace,White,Male,37,Tensed,1,Downtown West
2016/08/20 02:17:47,Disturbance ,No,FORCE,,Chemical Irritant,Crowd Control Mace,NA,Male,20,Unspecified,1,Downtown West
2016/08/20 02:17:47,Disturbance ,No,FORCE,,Chemical Irritant,Crowd Control Mace,NA,Male,20,Unspecified,1,Downtown West
2016/08/20 03:06:38,Domestic ,Yes,OBSTRU,,Bodily Force,Body Weight to Pin,White,Male,43,Tensed,2,Holland
2016/08/20 03:28:23,Assist Other Agency ,No,AOA,Yes,Police K9 Bite,Off Lead,Black,Male,39,Fled in Vehicle,5,Armatage
2016/08/20 20:06:25,Assault in Progress ,No,OBSTRU,,Bodily Force,Body Weight to Pin,White,Male,47,Tensed,1,Elliot Park
2016/08/20 20:06:25,Assault in Progress ,No,OBSTRU,,Bodily Force,Joint Lock,White,Male,47,Tensed,1,Elliot Park
2016/08/20 23:34:56,Domestic Abuse-In Progress ,Yes,DOMEN,No,Bodily Force,Punches,White,Male,49,Tensed,3,Phillips West
2016/08/20 23:34:56,Domestic Abuse-In Progress ,Yes,DOMEN,No,Bodily Force,Knees,White,Male,49,Tensed,3,Phillips West
2016/08/20 23:34:56,Domestic Abuse-In Progress ,Yes,DOMEN,No,Bodily Force,Body Weight to Pin,White,Male,49,Tensed,3,Phillips West
2016/08/20 23:34:56,Domestic Abuse-In Progress ,Yes,DOMEN,No,Bodily Force,Knees,White,Male,49,Tensed,3,Phillips West
2016/08/21 01:54:24,Fight ,No,FORCE,,Chemical Irritant,Crowd Control Mace,Black,Male,25,Unspecified,1,Downtown West
2016/08/21 02:08:25,Fight ,No,FORCE,,Chemical Irritant,Crowd Control Mace,NA,NA,0,Unspecified,1,Downtown West
2016/08/21 02:08:25,Fight ,No,FORCE,,Chemical Irritant,Crowd Control Mace,NA,NA,0,Unspecified,1,Downtown West
2016/08/21 02:30:28,Fight ,No,DISCON,,Chemical Irritant,Personal Mace,Other / Mixed Race,Male,24,Commission of Crime,1,Downtown West
2016/08/21 03:43:12,Suspicious Vehicle ,No,"NARC",No,Bodily Force,Punches,Asian,Male,43,Tensed,3,East Phillips
2016/08/21 03:43:12,Suspicious Vehicle ,No,"NARC",No,Bodily Force,Body Weight to Pin,Asian,Male,43,Tensed,3,East Phillips
2016/08/21 03:43:12,Suspicious Vehicle ,No,"NARC",No,Bodily Force,Knees,Asian,Male,43,Tensed,3,East Phillips
2016/08/21 05:12:53,Motor Vehicle Chase ,No,FLEE,No,Bodily Force,Body Weight to Pin,Black,Male,53,Fled on Foot,3,Central
2016/08/21 14:16:33,Theft ,Yes,OBSTRU,Yes,Bodily Force,Body Weight to Pin,White,Male,39,Commission of Crime,2,Northeast Park
2016/08/21 14:16:33,Theft ,Yes,OBSTRU,Yes,Bodily Force,Joint Lock,White,Male,39,Commission of Crime,2,Northeast Park
2016/08/21 14:16:33,Theft ,Yes,OBSTRU,Yes,Bodily Force,Joint Lock,White,Male,39,Commission of Crime,2,Northeast Park
2016/08/21 14:16:33,Theft ,Yes,OBSTRU,Yes,Bodily Force,Body Weight to Pin,White,Male,39,Commission of Crime,2,Northeast Park
2016/08/21 20:38:03,Suspicious Person ,No,MJINMV,No,Gun Point Display,Compliance,Black,Male,17,Unspecified,2,Waite Park
2016/08/22 02:09:22,Fight ,No,FORCE,,Chemical Irritant,Crowd Control Mace,Black,Male,20,Verbal Non-Compliance,1,Downtown West
2016/08/22 02:14:22,Disturbance ,No,FORCE,No,Chemical Irritant,Crowd Control Mace,NA,NA,0,Verbal Non-Compliance,1,Downtown West
2016/08/22 02:41:29,Fight ,No,DISCON,No,Chemical Irritant,Crowd Control Mace,Black,Male,20,Verbal Non-Compliance,1,Downtown West
2016/08/22 02:51:36,Person with a Gun ,No,THREAT,Yes,Taser,Firing Darts,Black,Male,21,Commission of Crime,1,Downtown West
2016/08/22 06:10:30,Suspicious Person ,No,FORCE,No,Chemical Irritant,Crowd Control Mace,Black,Male,18,Commission of Crime,1,Downtown West
2016/08/24 14:48:18,Unknown Trouble ,Yes,NVA,No,Chemical Irritant,Personal Mace,Asian,Male,18,Commission of Crime,4,Near - North
2016/08/24 14:48:18,Unknown Trouble ,Yes,NVA,No,Chemical Irritant,Personal Mace,Black,Male,18,Commission of Crime,4,Near - North
2016/08/24 14:48:18,Unknown Trouble ,Yes,NVA,No,Chemical Irritant,Personal Mace,Black,Male,16,Commission of Crime,4,Near - North
2016/08/24 20:11:37,Officer Needs Help ,No,OBSTRU,No,Bodily Force,Push Away,Black,Male,20,Commission of Crime,1,Cedar Riverside
2016/08/24 22:57:40,Theft ,Yes,ROBPAG,No,Bodily Force,Joint Lock,Black,Male,43,Verbal Non-Compliance,1,Cedar Riverside
2016/08/24 22:57:40,Theft ,Yes,ROBPAG,No,Bodily Force,Joint Lock,Black,Male,43,Verbal Non-Compliance,1,Cedar Riverside
2016/08/25 23:43:22,Domestic Abuse-In Progress ,Yes,DASLT5,No,Bodily Force,Body Weight to Pin,Black,Male,24,Fled on Foot,4,Near - North
2016/08/25 23:43:22,Domestic Abuse-In Progress ,Yes,DASLT5,No,Bodily Force,Punches,Black,Male,24,Fled on Foot,4,Near - North
2016/08/26 02:00:22,Unknown Trouble ,Yes,DASLT5,No,Bodily Force,Punches,Black,Male,24,Fled on Foot,4,Near - North
2016/08/26 16:50:33,Transportation ,No,DOMEN,No,Bodily Force,Push Away,Black,Male,35,Tensed,1,Downtown West
2016/08/26 16:50:33,Transportation ,No,DOMEN,No,Bodily Force,Body Weight to Pin,Black,Male,35,Tensed,1,Downtown West
2016/08/26 16:50:33,Transportation ,No,DOMEN,No,Gun Point Display,Compliance,Black,Male,35,Tensed,1,Downtown West
2016/08/26 23:20:45,Unwanted Person ,Yes,OBSTRU,Yes,Bodily Force,Body Weight to Pin,Black,Male,36,Tensed,2,Como
2016/08/26 23:20:45,Unwanted Person ,Yes,OBSTRU,Yes,Gun Point Display,Compliance,Black,Male,36,Tensed,2,Como
2016/08/27 00:40:39,Fight ,No,FORCE,,Chemical Irritant,Personal Mace,Black,Male,20,Commission of Crime,1,Downtown West
2016/08/27 00:40:39,Fight ,No,FORCE,,Chemical Irritant,Personal Mace,White,Male,20,Commission of Crime,1,Downtown West
2016/08/27 00:40:39,Fight ,No,FORCE,,Chemical Irritant,Personal Mace,White,Male,20,Commission of Crime,1,Downtown West
2016/08/27 00:40:39,Fight ,No,FORCE,,Chemical Irritant,Personal Mace,Black,Male,20,Commission of Crime,1,Downtown West
2016/08/27 02:21:07,Disturbance ,No,DISCON,,Chemical Irritant,Crowd Control Mace,NA,Male,21,Commission of Crime,1,Downtown West
2016/08/27 02:30:32,Fight ,No,FORCE,,Chemical Irritant,Crowd Control Mace,Black,Female,20,Unspecified,1,Downtown West
2016/08/27 02:30:32,Fight ,No,FORCE,,Chemical Irritant,Crowd Control Mace,Black,Female,20,Verbal Non-Compliance,1,Downtown West
2016/08/27 03:24:33,Suspicious Person ,No,ASLT2,,Chemical Irritant,Personal Mace,Black,Male,38,Commission of Crime,3,Ventura Village
2016/08/27 03:24:33,Suspicious Person ,No,ASLT2,,Chemical Irritant,Personal Mace,Black,Male,23,Commission of Crime,3,Ventura Village
2016/08/27 16:22:53,Domestic Abuse-In Progress ,Yes,DASLT5,No,Bodily Force,Body Weight to Pin,Other / Mixed Race,Male,15,Tensed,4,Webber - Camden
2016/08/27 16:22:53,Domestic Abuse-In Progress ,Yes,DASLT5,No,Bodily Force,Joint Lock,Other / Mixed Race,Male,15,Tensed,4,Webber - Camden
2016/08/27 16:22:53,Domestic Abuse-In Progress ,Yes,DASLT5,No,Bodily Force,Body Weight to Pin,Other / Mixed Race,Male,15,Tensed,4,Webber - Camden
2016/08/27 16:22:53,Domestic Abuse-In Progress ,Yes,DASLT5,No,Bodily Force,Joint Lock,Other / Mixed Race,Male,15,Tensed,4,Webber - Camden
2016/08/27 16:22:53,Domestic Abuse-In Progress ,Yes,DASLT5,No,Bodily Force,Body Weight to Pin,Other / Mixed Race,Male,15,Tensed,4,Webber - Camden
2016/08/27 18:42:11,Suspicious Person ,No,FLEEFT,Yes,Bodily Force,Body Weight to Pin,Black,Male,16,Fled on Foot,4,Near - North
2016/08/27 18:42:11,Suspicious Person ,No,FLEEFT,Yes,Bodily Force,Punches,Black,Male,16,Fled on Foot,4,Near - North
2016/08/27 18:42:11,Suspicious Person ,No,FLEEFT,Yes,Bodily Force,Body Weight to Pin,Black,Male,16,Fled on Foot,4,Near - North
2016/08/27 18:57:44,Suspicious Person ,Yes,ASLT4,Yes,Bodily Force,Slaps,Black,Male,23,Assaulted Officer,3,Phillips West
2016/08/27 18:57:44,Suspicious Person ,Yes,ASLT4,Yes,Bodily Force,Kicks,Black,Male,23,Assaulted Officer,3,Phillips West
2016/08/27 18:57:44,Suspicious Person ,Yes,ASLT4,Yes,Bodily Force,Conscious Neck Restraint,Black,Male,23,Assaulted Officer,3,Phillips West
2016/08/27 18:57:44,Suspicious Person ,Yes,ASLT4,Yes,Bodily Force,Knees,Black,Male,23,Assaulted Officer,3,Phillips West
2016/08/27 18:57:44,Suspicious Person ,Yes,ASLT4,Yes,Bodily Force,Body Weight to Pin,Black,Male,23,Assaulted Officer,3,Phillips West
2016/08/27 18:57:44,Suspicious Person ,Yes,ASLT4,Yes,Bodily Force,Knees,Black,Male,23,Assaulted Officer,3,Phillips West
2016/08/27 18:57:44,Suspicious Person ,Yes,ASLT4,Yes,Bodily Force,Body Weight to Pin,Black,Male,23,Assaulted Officer,3,Phillips West
2016/08/28 02:15:17,Theft ,No,TFPER,,Bodily Force,Body Weight to Pin,Black,Male,24,Commission of Crime,1,Downtown West
2016/08/28 02:15:17,Theft ,No,TFPER,,Bodily Force,Joint Lock,Black,Male,24,Commission of Crime,1,Downtown West
2016/08/28 20:15:50,Suspicious Vehicle ,No,OBSTRU,No,Taser,Red Dot,Black,Male,21,Tensed,5,Lyndale
2016/08/28 20:15:50,Suspicious Vehicle ,No,OBSTRU,No,Bodily Force,Conscious Neck Restraint,Black,Male,21,Tensed,5,Lyndale
2016/08/28 20:15:50,Suspicious Vehicle ,No,OBSTRU,No,Taser,Display,Black,Male,21,Tensed,5,Lyndale
2016/08/28 20:15:50,Suspicious Vehicle ,No,OBSTRU,No,Bodily Force,Body Weight to Pin,Black,Male,21,Tensed,5,Lyndale
2016/08/29 01:50:18,Directed Patrol ,No,DAMMV,,Chemical Irritant,Crowd Control Mace,Black,Female,21,Unspecified,1,Downtown West
2016/08/29 01:50:18,Directed Patrol ,No,DAMMV,,Chemical Irritant,Crowd Control Mace,Black,Female,21,Commission of Crime,1,Downtown West
2016/08/29 02:07:19,Disturbance ,No,DISCON,No,Chemical Irritant,Crowd Control Mace,Black,Male,27,Commission of Crime,1,Downtown West
2016/08/29 15:58:04,Suspicious Person ,No,FLEEFT,,Bodily Force,Body Weight to Pin,Black,Male,20,Fled on Foot,3,Midtown Phillips
2016/08/29 19:03:30,Unwanted Person ,Yes,OBSTRU,,Bodily Force,Joint Lock,Black,Male,31,Commission of Crime,1,Downtown West
2016/08/30 14:36:37,Suspicious Vehicle ,No,AOA,No,Taser,Firing Darts,Black,Male,23,Fled on Foot,4,Sumner - Glenwood
2016/08/30 23:34:36,Animal Call ,No,AOA,Yes,Police K9 Bite,On Lead,White,Male,37,Fled on Foot,2,Columbia Park
2016/08/31 20:00:59,Narcotics ,Yes,FORCE,,Bodily Force,Body Weight to Pin,Black,Male,40,Tensed,4,Near - North
2016/08/31 21:55:39,Domestic with Weapons ,Yes,CIC,,Bodily Force,Joint Lock,Other / Mixed Race,Female,15,Tensed,4,Folwell
2016/08/31 21:55:39,Domestic with Weapons ,Yes,CIC,,Bodily Force,Body Weight to Pin,Other / Mixed Race,Female,15,Tensed,4,Folwell
2016/08/31 22:02:14,Fight ,Yes,FORCE,,Chemical Irritant,Personal Mace,NA,NA,0,Verbal Non-Compliance,5,Lowry Hill
2016/08/31 22:02:14,Fight ,Yes,FORCE,,Chemical Irritant,Personal Mace,NA,NA,0,Verbal Non-Compliance,5,Lowry Hill
2016/08/31 22:02:14,Fight ,Yes,FORCE,,Chemical Irritant,Personal Mace,NA,NA,0,Verbal Non-Compliance,5,Lowry Hill
2016/08/31 22:02:14,Fight ,Yes,FORCE,,Chemical Irritant,Personal Mace,NA,NA,0,Verbal Non-Compliance,5,Lowry Hill
2016/08/31 22:02:14,Fight ,Yes,FORCE,,Chemical Irritant,Personal Mace,NA,NA,0,Verbal Non-Compliance,5,Lowry Hill
2016/08/31 22:02:14,Fight ,Yes,FORCE,,Chemical Irritant,Personal Mace,NA,NA,0,Verbal Non-Compliance,5,Lowry Hill
2016/08/31 22:02:14,Fight ,Yes,FORCE,,Chemical Irritant,Personal Mace,NA,NA,0,Verbal Non-Compliance,5,Lowry Hill
2016/08/31 23:58:29,Fight ,Yes,WT,Yes,Bodily Force,Push Away,Other / Mixed Race,Male,29,Tensed,1,Loring Park
